domain,company,category,review_count,star_rating
mintlify.com,Mintlify,AI documentation generator,19,4.6
gjalla.io,gjalla,AI documentation generator,23,4.3
reflectiz.com,Reflectiz,website privacy auditing,32,4.7
observepoint.com,ObservePoint,website privacy auditing,81,4.5
docuwriter.ai,DocuWriter.ai,AI documentation generator,86,4.3
sapia.ai,Sapia.ai,AI interview agent,92,4.6
getmobly.com,Mobly,event lead capture,108,4.8
autogenai.com,AutogenAI,AI proposal generator,164,4.3
ketch.com,Ketch,website privacy auditing,170,4.6
brighthire.ai,BrightHire,AI interview agent,170,4.7
osano.com,Osano,website privacy auditing,172,4.5
outdoo.ai,Outdoo AI,AI sales roleplay,172,4.6
searchstax.com,SearchStax,site search software,177,4.5
captello.com,Captello,event lead capture,182,4.8
searchspring.com,Athos Commerce,site search software,221,4.5
incident.io,incident.io,AI SRE tooling,231,4.8
