domain,company,category,employees,domain_source
guideflow.com,Guideflow,interactive demo software,11-50,verified
nimitai.com,Nimitai,sales call coaching software,11-50,verified
itsconvo.com,Convo,sales call recording software,unchecked,verified
recordmeeting.com,RecordMeeting,meeting recording software,unchecked,verified
bluedothq.com,BlueDot,meeting recorder for sales,unchecked,verified
tldv.io,tldv,meeting recorder,unchecked,verified
sybill.ai,Sybill,AI sales call assistant,unchecked,verified
balto.ai,Balto,real-time call guidance software,unchecked,verified
getaccept.com,GetAccept,digital sales room software,unchecked,verified
sifthub.io,SiftHub,RFP response software,51-200,verified
cirrusinsight.com,Cirrus Insight,Salesforce email integration,unchecked,verified
albato.com,Albato,app integration platform,unchecked,verified
aviso.com,Aviso,revenue intelligence software,unchecked,verified
revenue.io,Revenue.io,revenue intelligence software,unchecked,verified
lindy.ai,Lindy,AI sales agent,unchecked,verified
